indicator,date,rate
open,2023-12-22 19:59:00,375.04
high,2023-12-22 19:59:00,375.06
low,2023-12-22 19:59:00,375.02
close,2023-12-22 19:59:00,375.05
open,2023-12-22 19:58:00,375.05
high,2023-12-22 19:58:00,375.05
low,2023-12-22 19:58:00,375.02
close,2023-12-22 19:58:00,375.02
open,2023-12-22 19:57:00,375.06
high,2023-12-22 19:57:00,375.06
low,2023-12-22 19:57:00,375.0
close,2023-12-22 19:57:00,375.04
open,2023-12-22 19:56:00,375.0
high,2023-12-22 19:56:00,375.06
low,2023-12-22 19:56:00,374.99
close,2023-12-22 19:56:00,375.0
open,2023-12-22 19:55:00,375.04
high,2023-12-22 19:55:00,375.05
low,2023-12-22 19:55:00,375.0
close,2023-12-22 19:55:00,375.05
open,2023-12-22 19:54:00,375.01
high,2023-12-22 19:54:00,375.01
low,2023-12-22 19:54:00,375.01
close,2023-12-22 19:54:00,375.01
open,2023-12-22 19:53:00,374.88
high,2023-12-22 19:53:00,375.0
low,2023-12-22 19:53:00,374.88
close,2023-12-22 19:53:00,375.0
open,2023-12-22 19:52:00,374.88
high,2023-12-22 19:52:00,375.02
low,2023-12-22 19:52:00,374.88
close,2023-12-22 19:52:00,374.88
open,2023-12-22 19:51:00,375.06
high,2023-12-22 19:51:00,375.06
low,2023-12-22 19:51:00,374.88
close,2023-12-22 19:51:00,374.88
open,2023-12-22 19:50:00,374.89
high,2023-12-22 19:50:00,375.0
low,2023-12-22 19:50:00,374.88
close,2023-12-22 19:50:00,375.0
open,2023-12-22 19:49:00,375.02
high,2023-12-22 19:49:00,375.02
low,2023-12-22 19:49:00,374.88
close,2023-12-22 19:49:00,374.89
open,2023-12-22 19:48:00,375.04
high,2023-12-22 19:48:00,375.04
low,2023-12-22 19:48:00,375.02
close,2023-12-22 19:48:00,375.02
open,2023-12-22 19:47:00,375.04
high,2023-12-22 19:47:00,375.04
low,2023-12-22 19:47:00,375.04
close,2023-12-22 19:47:00,375.04
open,2023-12-22 19:46:00,375.04
high,2023-12-22 19:46:00,375.04
low,2023-12-22 19:46:00,375.04
close,2023-12-22 19:46:00,375.04
open,2023-12-22 19:45:00,375.05
high,2023-12-22 19:45:00,375.05
low,2023-12-22 19:45:00,375.04
close,2023-12-22 19:45:00,375.04
open,2023-12-22 19:44:00,375.04
high,2023-12-22 19:44:00,375.08
low,2023-12-22 19:44:00,375.04
close,2023-12-22 19:44:00,375.041
open,2023-12-22 19:43:00,375.04
high,2023-12-22 19:43:00,375.04
low,2023-12-22 19:43:00,375.03
close,2023-12-22 19:43:00,375.04
open,2023-12-22 19:42:00,375.03
high,2023-12-22 19:42:00,375.04
low,2023-12-22 19:42:00,375.02
close,2023-12-22 19:42:00,375.04
open,2023-12-22 19:41:00,374.99
