indicator,date,rate
open,2023-12-22 19:00:00,375.01
high,2023-12-22 19:00:00,375.08
low,2023-12-22 19:00:00,374.88
close,2023-12-22 19:00:00,375.05
open,2023-12-22 18:00:00,375.05
high,2023-12-22 18:00:00,375.25
low,2023-12-22 18:00:00,374.99
close,2023-12-22 18:00:00,375.05
open,2023-12-22 17:00:00,374.7
high,2023-12-22 17:00:00,375.09
low,2023-12-22 17:00:00,374.58
close,2023-12-22 17:00:00,375.05
open,2023-12-22 16:00:00,374.62
high,2023-12-22 16:00:00,375.25
low,2023-12-22 16:00:00,371.67
close,2023-12-22 16:00:00,374.82
open,2023-12-22 15:00:00,374.6
high,2023-12-22 15:00:00,374.8
low,2023-12-22 15:00:00,374.07
close,2023-12-22 15:00:00,374.605
open,2023-12-22 14:00:00,374.8
high,2023-12-22 14:00:00,374.954
low,2023-12-22 14:00:00,373.15
close,2023-12-22 14:00:00,374.6
open,2023-12-22 13:00:00,374.64
high,2023-12-22 13:00:00,375.03
low,2023-12-22 13:00:00,374.59
close,2023-12-22 13:00:00,374.827
open,2023-12-22 12:00:00,374.46
high,2023-12-22 12:00:00,374.68
low,2023-12-22 12:00:00,373.63
close,2023-12-22 12:00:00,374.67
open,2023-12-22 11:00:00,374.6
high,2023-12-22 11:00:00,375.0
low,2023-12-22 11:00:00,374.01
close,2023-12-22 11:00:00,374.438
open,2023-12-22 10:00:00,374.09
high,2023-12-22 10:00:00,375.18
low,2023-12-22 10:00:00,373.9
close,2023-12-22 10:00:00,374.64
open,2023-12-22 09:00:00,373.32
high,2023-12-22 09:00:00,374.297
low,2023-12-22 09:00:00,372.455
close,2023-12-22 09:00:00,374.07
open,2023-12-22 08:00:00,373.54
high,2023-12-22 08:00:00,373.54
low,2023-12-22 08:00:00,372.0
close,2023-12-22 08:00:00,373.35
open,2023-12-22 07:00:00,372.62
high,2023-12-22 07:00:00,372.95
low,2023-12-22 07:00:00,372.55
close,2023-12-22 07:00:00,372.69
open,2023-12-22 06:00:00,372.7
high,2023-12-22 06:00:00,372.99
low,2023-12-22 06:00:00,372.43
close,2023-12-22 06:00:00,372.6
open,2023-12-22 05:00:00,372.39
high,2023-12-22 05:00:00,372.79
low,2023-12-22 05:00:00,371.98
close,2023-12-22 05:00:00,372.69
open,2023-12-22 04:00:00,372.69
high,2023-12-22 04:00:00,373.95
low,2023-12-22 04:00:00,372.02
close,2023-12-22 04:00:00,372.39
open,2023-12-21 19:00:00,373.31
high,2023-12-21 19:00:00,373.35
low,2023-12-21 19:00:00,373.0
close,2023-12-21 19:00:00,373.2
open,2023-12-21 18:00:00,373.54
high,2023-12-21 18:00:00,373.54
low,2023-12-21 18:00:00,373.0
close,2023-12-21 18:00:00,373.32
open,2023-12-21 17:00:00,373.57
high,2023-12-21 17:00:00,397.894
low,2023-12-21 17:00:00,365.878
close,2023-12-21 17:00:00,373.54
open,2023-12-21 16:00:00,373.54
high,2023-12-21 16:00:00,373.85
low,2023-12-21 16:00:00,372.285
close,2023-12-21 16:00:00,373.55
open,2023-12-21 15:00:00,372.075
high,2023-12-21 15:00:00,373.83
low,2023-12-21 15:00:00,371.71
close,2023-12-21 15:00:00,373.54
open,2023-12-21 14:00:00,371.52
high,2023-12-21 14:00:00,372.25
low,2023-12-21 14:00:00,371.32
close,2023-12-21 14:00:00,372.08
open,2023-12-21 13:00:00,370.35
high,2023-12-21 13:00:00,371.55
low,2023-12-21 13:00:00,370.07
close,2023-12-21 13:00:00,371.544
open,2023-12-21 12:00:00,371.195
high,2023-12-21 12:00:00,371.203
low,2023-12-21 12:00:00,370.04
close,2023-12-21 12:00:00,370.36
open,2023-12-21 11:00:00,371.438
high,2023-12-21 11:00:00,371.95
low,2023-12-21 11:00:00,370.99
close,2023-12-21 11:00:00,371.2
open,2023-12-21 10:00:00,372.03
high,2023-12-21 10:00:00,372.58
low,2023-12-21 10:00:00,370.82
close,2023-12-21 10:00:00,371.45
open,2023-12-21 09:00:00,373.147
high,2023-12-21 09:00:00,374.41
low,2023-12-21 09:00:00,371.78
close,2023-12-21 09:00:00,372.007
open,2023-12-21 08:00:00,372.19
high,2023-12-21 08:00:00,374.54
low,2023-12-21 08:00:00,369.0
close,2023-12-21 08:00:00,373.01
open,2023-12-21 07:00:00,372.07
high,2023-12-21 07:00:00,372.66
low,2023-12-21 07:00:00,372.01
close,2023-12-21 07:00:00,372.42
open,2023-12-21 06:00:00,372.1
high,2023-12-21 06:00:00,372.38
low,2023-12-21 06:00:00,371.75
close,2023-12-21 06:00:00,371.9
open,2023-12-21 05:00:00,372.36
high,2023-12-21 05:00:00,372.38
low,2023-12-21 05:00:00,371.99
close,2023-12-21 05:00:00,372.1
open,2023-12-21 04:00:00,372.59
high,2023-12-21 04:00:00,373.0
low,2023-12-21 04:00:00,371.5
close,2023-12-21 04:00:00,372.32
open,2023-12-20 19:00:00,371.35
high,2023-12-20 19:00:00,371.44
low,2023-12-20 19:00:00,370.62
close,2023-12-20 19:00:00,371.0
open,2023-12-20 18:00:00,371.0
high,2023-12-20 18:00:00,371.35
low,2023-12-20 18:00:00,370.9
close,2023-12-20 18:00:00,371.35
open,2023-12-20 17:00:00,370.64
high,2023-12-20 17:00:00,371.74
low,2023-12-20 17:00:00,364.061
close,2023-12-20 17:00:00,370.9
open,2023-12-20 16:00:00,370.57
high,2023-12-20 16:00:00,370.87
low,2023-12-20 16:00:00,370.0
close,2023-12-20 16:00:00,370.62
open,2023-12-20 15:00:00,371.9
high,2023-12-20 15:00:00,372.65
low,2023-12-20 15:00:00,370.53
close,2023-12-20 15:00:00,370.57
open,2023-12-20 14:00:00,375.115
high,2023-12-20 14:00:00,375.33
low,2023-12-20 14:00:00,371.53
close,2023-12-20 14:00:00,371.861
open,2023-12-20 13:00:00,375.82
high,2023-12-20 13:00:00,375.83
low,2023-12-20 13:00:00,374.86
close,2023-12-20 13:00:00,375.12
open,2023-12-20 12:00:00,374.71
high,2023-12-20 12:00:00,376.03
low,2023-12-20 12:00:00,374.71
close,2023-12-20 12:00:00,375.817
open,2023-12-20 11:00:00,374.81
high,2023-12-20 11:00:00,375.04
low,2023-12-20 11:00:00,374.03
close,2023-12-20 11:00:00,374.71
open,2023-12-20 10:00:00,374.3
high,2023-12-20 10:00:00,375.3
low,2023-12-20 10:00:00,373.85
close,2023-12-20 10:00:00,374.83
open,2023-12-20 09:00:00,373.33
high,2023-12-20 09:00:00,375.3
low,2023-12-20 09:00:00,370.625
close,2023-12-20 09:00:00,374.37
open,2023-12-20 08:00:00,372.4
high,2023-12-20 08:00:00,373.35
low,2023-12-20 08:00:00,371.524
close,2023-12-20 08:00:00,373.3
open,2023-12-20 07:00:00,372.31
high,2023-12-20 07:00:00,372.68
low,2023-12-20 07:00:00,371.9
close,2023-12-20 07:00:00,371.9
open,2023-12-20 06:00:00,372.02
high,2023-12-20 06:00:00,373.26
low,2023-12-20 06:00:00,371.87
